ad_id,categoria,mensaje,ruta
01,C,Suscríbete a Premium por 1 mes gratis,/ads/01.ogg
02,B,Auriculares con 20% de descuento esta semana,/ads/02.ogg
03,AAA,Nuevo álbum exclusivo disponible hoy,/ads/03.ogg
04,C,Escucha sin anuncios con Premium,/ads/04.ogg
05,B,Parlantes Bluetooth en promoción limitada,/ads/05.ogg
06,C,Mejora tu experiencia: audio en 320 kbps,/ads/06.ogg
07,B,Soporte para creadores locales: compra su merch,/ads/07.ogg
08,AAA,Pre-estreno mundial de tu grupo favorito,/ads/08.ogg
09,C,Descarga tus playlists para escuchar offline,/ads/09.ogg
10,B,Micrófonos USB con envío gratis,/ads/10.ogg
11,C,Comparte tu playlist y gana beneficios,/ads/11.ogg
12,B,Amplificadores para estudio en oferta,/ads/12.ogg
13,AAA,Concierto virtual este fin de semana,/ads/13.ogg
14,C,Salta canciones ilimitadas con Premium,/ads/14.ogg
15,B,Tarjetas regalo con 10% extra de saldo,/ads/15.ogg
16,C,Control total de reproducción sin límites,/ads/16.ogg
17,B,Soporte de audio para auto: accesorios -15%,/ads/17.ogg
18,AAA,Colaboración sorpresa: estreno a medianoche,/ads/18.ogg
19,C,Organiza tus favoritos y síguelos sin límites,/ads/19.ogg
20,B,Curso básico de producción musical con descuento,/ads/20.ogg
21,C,Recomendaciones personalizadas cada día,/ads/21.ogg
22,B,Cables y stands para micrófono 2x1,/ads/22.ogg
23,AAA,Remix oficial lanzado hoy: no te lo pierdas,/ads/23.ogg
24,C,Historial de escucha extendido con Premium,/ads/24.ogg
25,B,Monitores de estudio a precio especial,/ads/25.ogg
26,C,Modo alta calidad activable en un toque,/ads/26.ogg
27,B,Interfaz de audio portátil - oferta relámpago,/ads/27.ogg
28,AAA,Documental exclusivo detrás de cámaras,/ads/28.ogg
29,C,Reproduce sin interrupciones por anuncios,/ads/29.ogg
30,B,Memoria SD para tu reproductor con 30% OFF,/ads/30.ogg
31,C,Prueba Premium familiar 7 días sin costo,/ads/31.ogg
32,B,Fundas para audífonos resistentes al agua,/ads/32.ogg
33,AAA,Meet & Greet virtual: cupos limitados,/ads/33.ogg
34,C,Playback cruzado entre dispositivos,/ads/34.ogg
35,B,Teclados MIDI compactos en promoción,/ads/35.ogg
36,C,Mejor algoritmo de recomendaciones con Premium,/ads/36.ogg
37,B,Soportes para laptop ergonómicos -15%,/ads/37.ogg
38,AAA,Estreno del MV oficial hoy a las 6 PM,/ads/38.ogg
39,C,Salta a la siguiente canción sin límites,/ads/39.ogg
40,B,Iluminación RGB para tu setup musical,/ads/40.ogg
41,C,Prioridad en nuevas funciones con Premium,/ads/41.ogg
42,B,Suscripción anual a precio especial por tiempo limitado,/ads/42.ogg
43,AAA,Showcase exclusivo: entradas digitales ya disponibles,/ads/43.ogg
44,C,Reproduce en 2 dispositivos a la vez con Premium Duo,/ads/44.ogg
45,B,Soporte de atención prioritaria para suscriptores,/ads/45.ogg
46,C,Recupera tu sesión y continúa donde ibas,/ads/46.ogg
47,B,Protectores de cable y organizadores -20%,/ads/47.ogg
48,AAA,EP sorpresa liberado esta noche,/ads/48.ogg
49,C,Sin límites de saltos ni previas con Premium,/ads/49.ogg
50,B,Servicios de masterización con cupón de descuento,/ads/50.ogg
